gene_name,gene_type,funct_category,VFIND2,VFCALBON1,VFPARIOC,VFAGAHAV,VFSACSP1,VFPARPLA,VFLACSP,VFSTEMIN,VFOMMDIS,VFLIBAN,VFMEESKO,VFMALBOS,VFBRI,VFOMMLON,VFOECSP1,VFIDISP1,VFDICEUR,VFASICLA,VFZOPTEN,VFDICMUL,VFLOPSAC,VFTETSUL,VFCEDSP1,VFPENVAR,VFTETHEX,VFKELRIB,VFSCODIS,VFCIXPIL,VFISSKAZ,VFPITSP,VFTRYOCC,VFCALKRU,VFVIZSP,VFCIXNER,VFAKOQUE,VFMEETHA,VFOLIH,VFMELPLA,VFBLASP2,VFCIXIUS,VFMYCCUN,VFPYRCLA,VFQUISP,VFHYALUT,VFRANEDI,VFUGYOPS,VFDESRAP,VFBRUSP1,VFORGSP,VFBRUOCU,VFPROSP,VFMEEMAD,VFRANSCY,VFBEB,VFPYRVIR,VFSTELAU,VFBLASP1,VFPINALT,VFPYRLAN,VFDICPAN5,VFTETMAC,VFPENROR,VFMEEALB,VFISSCOL1,VFLYNSP,VFOMOUHL,VFTETIMP,VFUGYLON,VFCOTACU,
xxx035,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpsN,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
metF,Protein,Biosynthesis-Methionine,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,
rpsH,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rplF,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpmH,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Pseudogene,Absent,Pseudogene,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Putative,Absent,Functional,Pseudogene,Functional,
rplE,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxx055,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
xxx016,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rplR,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,
xxx012,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxx032,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxx073,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxx002,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rplA,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,
dnaG,Protein,DNA replication and repair,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,
tilS,Protein,Aminoacyl-tRNA synthetase,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
xxx082,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxx034,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
rplM,Protein,Ribosomal subunit proteins,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
dnaJ,Protein,protein folding and degradation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
dnaB,Protein,DNA replication and repair,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,
